epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,10393,0.76344,1.21087,0.4817,0.88549,0.85618,0.94234,0.89875,0.63524,0.79738,0.85388,0.81643,0.53385,0.95256,1.25058,0.59412,1.00171,0.000162075,0.000162075,0.000162075
85,10516.7,0.75955,1.21082,0.47788,0.87441,0.87111,0.94664,0.89816,0.61886,0.80769,0.84726,0.8166,0.5349,1.01102,1.2619,0.60761,1.02984,0.000153076,0.000153076,0.000153076
86,10640.8,0.77218,1.20446,0.47967,0.88057,0.85973,0.94682,0.88893,0.61995,0.80067,0.84742,0.81239,0.53686,1.00011,1.22781,0.60673,1.02299,0.000144077,0.000144077,0.000144077
87,10766.6,0.76157,1.19166,0.46947,0.87359,0.83888,0.92629,0.86381,0.63215,0.78636,0.85274,0.81573,0.54027,0.92543,1.2035,0.59015,0.99001,0.000135077,0.000135077,0.000135077
88,10891.7,0.73864,1.13437,0.45799,0.87434,0.85338,0.854,0.86268,0.63978,0.77696,0.88097,0.8281,0.53712,0.87797,1.19497,0.5796,0.97142,0.000126078,0.000126078,0.000126078
89,11013.4,0.73146,1.15243,0.46799,0.88226,0.87312,0.87878,0.89982,0.64115,0.83206,0.79134,0.82686,0.54057,0.88177,1.19084,0.57919,0.97252,0.000117079,0.000117079,0.000117079
90,11140,0.74549,1.18646,0.46948,0.87342,0.8783,0.88262,0.89206,0.61713,0.77493,0.85814,0.83969,0.54889,0.99395,1.22263,0.5987,1.01922,0.00010808,0.00010808,0.00010808
91,11249.3,0.75065,1.17601,0.47159,0.8888,0.85593,0.91631,0.89377,0.60732,0.78758,0.87923,0.83951,0.54271,1.04038,1.25246,0.61023,1.04744,9.9081e-05,9.9081e-05,9.9081e-05
92,11358.2,0.76195,1.27019,0.47453,0.88325,0.85813,0.92004,0.88929,0.60878,0.80458,0.8468,0.84022,0.53894,1.0358,1.26096,0.61098,1.05035,9.00819e-05,9.00819e-05,9.00819e-05
93,11466.9,0.74574,1.20772,0.4667,0.88242,0.85157,0.90015,0.88517,0.61666,0.77614,0.85794,0.83836,0.53608,1.00096,1.2527,0.60658,1.03875,8.10828e-05,8.10828e-05,8.10828e-05
94,11573.6,0.72163,1.15719,0.45024,0.86527,0.86498,0.86799,0.88237,0.63149,0.78536,0.78622,0.80758,0.52858,0.92818,1.21614,0.59522,1.01065,7.20837e-05,7.20837e-05,7.20837e-05
95,11680.3,0.73672,1.16852,0.45324,0.88531,0.8615,0.87242,0.88769,0.63142,0.78429,0.78722,0.80662,0.52848,0.93393,1.2187,0.59693,1.01422,6.30846e-05,6.30846e-05,6.30846e-05
96,11787.1,0.70876,1.16366,0.43834,0.8717,0.85574,0.87989,0.8897,0.62609,0.7792,0.79042,0.80702,0.52739,0.96421,1.23005,0.60314,1.02787,5.40855e-05,5.40855e-05,5.40855e-05
97,11893.9,0.71272,1.14253,0.43516,0.87361,0.85559,0.87947,0.8877,0.62111,0.78583,0.78888,0.80771,0.52636,0.99954,1.25227,0.61175,1.0431,4.50864e-05,4.50864e-05,4.50864e-05
98,12000.9,0.73009,1.17357,0.44736,0.86113,0.85286,0.87434,0.88578,0.62005,0.78695,0.79555,0.81113,0.53047,0.9894,1.25068,0.60757,1.03161,3.60873e-05,3.60873e-05,3.60873e-05
99,12108.9,0.72418,1.16215,0.44053,0.86878,0.8758,0.87559,0.89985,0.63378,0.78463,0.79338,0.81093,0.53081,0.97118,1.24588,0.60414,1.02285,2.70882e-05,2.70882e-05,2.70882e-05
100,12218.7,0.72409,1.13957,0.43798,0.86854,0.8754,0.88054,0.9018,0.63695,0.78446,0.79093,0.81114,0.53129,0.9568,1.24164,0.60143,1.0159,1.80891e-05,1.80891e-05,1.80891e-05
